time="2024-05-31T17:16:10+08:00" level=info msg="[GIN] 2024-05-31 17:16:24 |200| 533700 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:18:07+08:00" level=info msg="[GIN] 2024-05-31 17:18:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:20:15+08:00" level=error msg="[GIN] 2024-05-31 17:20:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:27:14+08:00" level=error msg="[GIN] %s |%d| %d | %s | %s | %s2024-05-31 17:27:24200 0s127.0.0.1POST/logrus"
time="2024-05-31T17:35:18+08:00" level=info msg="[GIN] 2024-05-31 17:35:24 |200| 63300 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:37:19+08:00" level=info msg="[GIN] 2024-05-31 17:37:24 |200| 528000 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:37:19+08:00" level=info msg="[GIN] 2024-05-31 17:37:24 |200| 528000 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:37:37+08:00" level=info msg="[GIN] 2024-05-31 17:37:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:37:37+08:00" level=info msg="[GIN] 2024-05-31 17:37:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:37:37+08:00" level=info msg="[GIN] 2024-05-31 17:37:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:38:20+08:00" level=info msg="[GIN] 2024-05-31 17:38:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:38:20+08:00" level=info msg="[GIN] 2024-05-31 17:38:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:38:20+08:00" level=info msg="[GIN] 2024-05-31 17:38:24 |200| 0 | 127.0.0.1 | POST | /logrus"
time="2024-05-31T17:38:20+08:00" level=info msg="[GIN] 2024-05-31 17:38:24 |200| 0 | 127.0.0.1 | POST | /logrus"
